Program: dinput8.dll
Image base: 10000000

== Interesting symbols ==
1013f3d4 | Label | MQ2DZMemberType::vftable
1013f3ec | Label | MQ2TimerType::vftable_meta_ptr
1013f3f0 | Label | MQ2TimerType::vftable
1013f408 | Label | MQ2TargetType::vftable_meta_ptr
1013f40c | Label | MQ2TargetType::vftable
1013f424 | Label | MQ2FellowshipMemberType::vftable_meta_ptr
1013f428 | Label | MQ2FellowshipMemberType::vftable
1013f440 | Label | MQ2PluginType::vftable_meta_ptr
1013f444 | Label | MQ2PluginType::vftable
1013f45c | Label | MQ2FellowshipType::vftable_meta_ptr
1013f460 | Label | MQ2FellowshipType::vftable
1013f478 | Label | MQ2EvolvingItemType::vftable_meta_ptr
1013f47c | Label | MQ2EvolvingItemType::vftable
1013f494 | Label | MQ2ArgbType::vftable_meta_ptr
1013f498 | Label | MQ2ArgbType::vftable
1013f4b0 | Label | MQ2ByteType::vftable_meta_ptr
1013f4b4 | Label | MQ2ByteType::vftable
1013f4cc | Label | MQ2MathType::vftable_meta_ptr
1013f4d0 | Label | MQ2MathType::vftable
1013f4e8 | Label | MQ2StringType::vftable_meta_ptr
1013f4ec | Label | MQ2StringType::vftable
1013f504 | Label | MQ2FriendsType::vftable_meta_ptr
1013f508 | Label | MQ2FriendsType::vftable
1013f520 | Label | MQ2ArrayType::vftable_meta_ptr
1013f524 | Label | MQ2ArrayType::vftable
1013f53c | Label | MQ2AltAbilityType::vftable_meta_ptr
1013f540 | Label | MQ2AltAbilityType::vftable
1013f558 | Label | MQ2MacroQuestType::vftable_meta_ptr
1013f55c | Label | MQ2MacroQuestType::vftable
1013f574 | Label | MQ2MerchantType::vftable_meta_ptr
1013f578 | Label | MQ2MerchantType::vftable
1013f590 | Label | MQ2SwitchType::vftable_meta_ptr
1013f594 | Label | MQ2SwitchType::vftable
1013f5ac | Label | MQ2SpawnType::vftable_meta_ptr
1013f5b0 | Label | MQ2SpawnType::vftable
1013f5c8 | Label | MQ2InvSlotType::vftable_meta_ptr
1013f5cc | Label | MQ2InvSlotType::vftable
1013f5e4 | Label | MQ2IntType::vftable_meta_ptr
1013f5e8 | Label | MQ2IntType::vftable
1013f600 | Label | MQ2SkillType::vftable_meta_ptr
1013f604 | Label | MQ2SkillType::vftable
1013f61c | Label | MQ2BoolType::vftable_meta_ptr
1013f620 | Label | MQ2BoolType::vftable
1013f638 | Label | MQ2TypeType::vftable_meta_ptr
1013f63c | Label | MQ2TypeType::vftable
1013f654 | Label | MQ2RaidMemberType::vftable_meta_ptr
1013f658 | Label | MQ2RaidMemberType::vftable
1013f670 | Label | MQ2BuffType::vftable_meta_ptr
1013f674 | Label | MQ2BuffType::vftable
1013f68c | Label | MQ2BodyType::vftable_meta_ptr
1013f690 | Label | MQ2BodyType::vftable
